stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
271,,Škola Dajbabe (A),,42.416437,19.223815,,,,,,
274,,Crveni krst (A),,42.442865,19.255803,,,,,,
275,,Franca Rozmana II (A),,42.450084,19.29344,,,,,,
280,,Burum (A),,42.451513,19.315368,,,,,,
281,,Mosorska - market II (B),,42.462489,19.301739,,,,,,
286,,Holandske sestre (A),,42.46274702,19.28026654,,,,,,
287,,Stara Zlatica (B),,42.472523,19.297266,,,,,,
291,,Ul. 4. jula I (A),,42.421168,19.255489,,,,,,
295,,Crveni krst (B),,42.443862,19.25611,,,,,,
299,,Dahna I (A),,42.425227,19.227102,,,,,,
300,,Radunovići I (A),,42.566419,19.345407,,,,,,
301,,Vranići I (A),,42.460425,19.236817,,,,,,
306,,Vranjske njive I (A),,42.469628,19.255658,,,,,,
307,,Doljanska III (A),,42.453141,19.311228,,,,,,
309,,Klopot (A),,42.558597,19.378327,,,,,,
310,,Doljanska I (A),,42.450938,19.299324,,,,,,
312,,Veruša (A),,42.654453,19.507606,,,,,,
313,,Primorska (B),,42.465517,19.289451,,,,,,
315,,Dječija bolnica (A),,42.43697887,19.24244529,,,,,,
316,,Donji Vranići (A),,42.45703858,19.23375878,,,,,,
318,,Partizanski put I (A),,42.454876,19.210364,,,,,,
320,,Kakaricka gora II (B),,42.440708,19.295049,,,,,,
321,,Gornji Medun (A),,42.476479,19.365041,,,,,,
322,,Dječija bolnica (B),,42.437488,19.242736,,,,,,
323,,Kakaricka gora I (B),,42.443058,19.297579,,,,,,
324,,Kovačica (B),,42.651174,19.483314,,,,,,
325,,Jablan (A),,42.620966,19.449799,,,,,,
326,,Doljanska I (B),,42.451739,19.301226,,,,,,
328,,Vojvođanska (B),,42.434168,19.211899,,,,,,
329,,Donji Kokoti II (B),,42.402253,19.198413,,,,,,
330,,Bioče - restoran (A),,42.539702,19.334353,,,,,,
331,,Andrije Lainovića (B),,42.453872,19.219223,,,,,,
332,,Podvožnjak Zagorič (B),,42.463663,19.286072,,,,,,
